feature,shap_importance,compartment,feature_type
Cytoplasm_Granularity_3_RNA,0.00399072119900146,Cytoplasm,Granularity
Nuclei_Correlation_RWC_AGP_Mito,0.003988454344538955,Nuclei,Correlation
Cells_AreaShape_Zernike_9_3,0.0039746787886958505,Cells,AreaShape
Cytoplasm_Granularity_8_RNA,0.003974630151891948,Cytoplasm,Granularity
Cytoplasm_AreaShape_Zernike_6_6,0.003954405415923767,Cytoplasm,AreaShape
Nuclei_Correlation_RWC_Mito_AGP,0.003953748677199656,Nuclei,Correlation
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_17of20,0.003949656046170275,Cytoplasm,RadialDistribution
Cells_AreaShape_Zernike_8_0,0.003939840592398209,Cells,AreaShape
Nuclei_AreaShape_Zernike_2_0,0.003929716181404988,Nuclei,AreaShape
Nuclei_RadialDistribution_FracAtD_DNA_2of4,0.003922153893036011,Nuclei,RadialDistribution
Cells_Texture_Correlation_ER_10_03_256,0.003913875578881353,Cells,Texture
Nuclei_Intensity_StdIntensityEdge_DNA,0.003897251093086587,Nuclei,Intensity
Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0.0038916594003025906,Cytoplasm,RadialDistribution
Cytoplasm_RadialDistribution_RadialCV_Mito_2of4,0.00389109339024539,Cytoplasm,RadialDistribution
Cytoplasm_Correlation_RWC_Mito_AGP,0.003890382246759795,Cytoplasm,Correlation
Nuclei_RadialDistribution_FracAtD_DNA_1of4,0.0038862044990569953,Nuclei,RadialDistribution
Nuclei_AreaShape_Zernike_2_2,0.0038860138233381544,Nuclei,AreaShape
Cells_RadialDistribution_FracAtD_mito_tubeness_1of16,0.0038805675369803796,Cells,RadialDistribution
Cytoplasm_Granularity_4_Mito,0.003877131333221249,Cytoplasm,Granularity
Nuclei_Texture_InfoMeas1_AGP_3_01_256,0.0038650797373598576,Nuclei,Texture
Cells_Correlation_K_AGP_Mito,0.003860876587049071,Cells,Correlation
Cells_RadialDistribution_FracAtD_mito_tubeness_16of16,0.003858226996855072,Cells,RadialDistribution
Cells_RadialDistribution_MeanFrac_mito_tubeness_11of16,0.003855295677061739,Cells,RadialDistribution
Cytoplasm_Granularity_12_DNA,0.003848413103987696,Cytoplasm,Granularity
Cytoplasm_Texture_InfoMeas1_Mito_5_01_256,0.0038471502138937856,Cytoplasm,Texture
Cells_Granularity_11_Mito,0.0038401556178307926,Cells,Granularity
Cells_RadialDistribution_FracAtD_mito_tubeness_14of20,0.0038362943202706187,Cells,RadialDistribution
Nuclei_Texture_Correlation_AGP_3_03_256,0.003821158443461172,Nuclei,Texture
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_14of16,0.003819081700307184,Cytoplasm,RadialDistribution
Cells_Granularity_12_DNA,0.0038118445998614856,Cells,Granularity
Cytoplasm_Intensity_LowerQuartileIntensity_AGP,0.003805422339641414,Cytoplasm,Intensity
Cytoplasm_Correlation_K_AGP_Mito,0.0037977364453620666,Cytoplasm,Correlation
Nuclei_RadialDistribution_RadialCV_AGP_3of4,0.003790147864503004,Nuclei,RadialDistribution
Cytoplasm_Texture_Correlation_Mito_5_01_256,0.0037892628404993696,Cytoplasm,Texture
Cells_RadialDistribution_MeanFrac_mito_tubeness_14of20,0.003776310872136881,Cells,RadialDistribution
Cells_RadialDistribution_FracAtD_mito_tubeness_20of20,0.0037654328085149507,Cells,RadialDistribution
Cytoplasm_Granularity_2_RNA,0.0037584144229601537,Cytoplasm,Granularity
Cytoplasm_Texture_InfoMeas1_Mito_5_02_256,0.0037479184439663574,Cytoplasm,Texture
Nuclei_Correlation_K_RNA_Mito,0.0037456223847818493,Nuclei,Correlation
Nuclei_Granularity_4_RNA,0.0037244938392645313,Nuclei,Granularity
Cytoplasm_Intensity_MedianIntensity_RNA,0.0037209521589933762,Cytoplasm,Intensity
Cytoplasm_Texture_InfoMeas1_Mito_10_03_256,0.003717983270863832,Cytoplasm,Texture
Cells_Intensity_MedianIntensity_ER,0.003706606758638194,Cells,Intensity
Cells_Texture_Correlation_AGP_10_00_256,0.0037059310604152934,Cells,Texture
Cells_Granularity_11_RNA,0.0037033281993717536,Cells,Granularity
Cytoplasm_Texture_Correlation_ER_10_03_256,0.0037024708970004993,Cytoplasm,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_15of20,0.003700336392461655,Cells,RadialDistribution
Nuclei_Texture_Correlation_AGP_3_02_256,0.0036911272471427635,Nuclei,Texture
Nuclei_ObjectSkeleton_TotalObjectSkeletonLength_mito_skel,0.0036897770181427143,Nuclei,ObjectSkeleton
Cytoplasm_Texture_InfoMeas1_Mito_10_00_256,0.0036799868869171145,Cytoplasm,Texture
Cytoplasm_Texture_Correlation_Mito_10_00_256,0.003675131068677209,Cytoplasm,Texture
Cells_Intensity_IntegratedIntensityEdge_AGP,0.0036637723206929098,Cells,Intensity
Cells_Intensity_MinIntensityEdge_ER,0.0036553909940578574,Cells,Intensity
Nuclei_RadialDistribution_MeanFrac_ER_4of4,0.0036525856874504827,Nuclei,RadialDistribution
