feature,shap_importance,compartment,feature_type
Cells_RadialDistribution_FracAtD_mito_tubeness_20of20,0.0031337082184784647,Cells,RadialDistribution
Nuclei_RadialDistribution_RadialCV_AGP_2of4,0.0031142730424325495,Nuclei,RadialDistribution
Nuclei_Intensity_MinIntensity_ER,0.00308263053115687,Nuclei,Intensity
Nuclei_Correlation_K_RNA_Mito,0.0030614321544999257,Nuclei,Correlation
Cells_Intensity_MassDisplacement_ER,0.0030518627902451304,Cells,Intensity
Nuclei_Texture_Correlation_DNA_3_01_256,0.003050617000137988,Nuclei,Texture
Nuclei_Texture_InfoMeas1_AGP_3_02_256,0.0030403659436706223,Nuclei,Texture
Cells_Intensity_MeanIntensityEdge_ER,0.003034248541267256,Cells,Intensity
Cytoplasm_Intensity_MassDisplacement_AGP,0.00302823901528557,Cytoplasm,Intensity
Nuclei_Correlation_K_ER_Mito,0.0030241220325530906,Nuclei,Correlation
Cytoplasm_Granularity_9_ER,0.003023124480345619,Cytoplasm,Granularity
Cells_RadialDistribution_MeanFrac_mito_tubeness_1of16,0.0030230076465107103,Cells,RadialDistribution
Nuclei_Correlation_K_AGP_ER,0.003021052419020894,Nuclei,Correlation
Nuclei_Correlation_RWC_Mito_RNA,0.003007332108661233,Nuclei,Correlation
Cells_AreaShape_Zernike_8_6,0.00298126487589408,Cells,AreaShape
Cells_Granularity_6_AGP,0.002976180738644741,Cells,Granularity
Cells_RadialDistribution_MeanFrac_mito_tubeness_15of20,0.0029745673813574417,Cells,RadialDistribution
Nuclei_Intensity_MaxIntensity_DNA,0.0029609659666363897,Nuclei,Intensity
Nuclei_Correlation_Correlation_DNA_Mito,0.002951151740032531,Nuclei,Correlation
Cytoplasm_AreaShape_Zernike_2_0,0.002949962562748364,Cytoplasm,AreaShape
Cells_RadialDistribution_MeanFrac_mito_tubeness_5of20,0.0029453660741065894,Cells,RadialDistribution
Cells_RadialDistribution_RadialCV_mito_tubeness_12of16,0.0029360432489193046,Cells,RadialDistribution
Cells_RadialDistribution_MeanFrac_mito_tubeness_4of16,0.002933306162473985,Cells,RadialDistribution
Cytoplasm_AreaShape_Zernike_4_2,0.0029223757550270032,Cytoplasm,AreaShape
Cells_RadialDistribution_MeanFrac_mito_tubeness_19of20,0.0029140850473179723,Cells,RadialDistribution
Cells_RadialDistribution_MeanFrac_mito_tubeness_14of20,0.002907792217946345,Cells,RadialDistribution
Cells_RadialDistribution_MeanFrac_mito_tubeness_12of20,0.002864582973208079,Cells,RadialDistribution
Cells_Texture_InfoMeas1_DNA_3_02_256,0.0028566905374646013,Cells,Texture
Cytoplasm_Correlation_RWC_DNA_ER,0.0028562689295878432,Cytoplasm,Correlation
Cytoplasm_Correlation_K_ER_Mito,0.0028562374485357265,Cytoplasm,Correlation
Cytoplasm_RadialDistribution_MeanFrac_AGP_1of4,0.002852174959698459,Cytoplasm,RadialDistribution
Cells_Granularity_9_AGP,0.002840103244605936,Cells,Granularity
Cells_RadialDistribution_MeanFrac_mito_tubeness_11of16,0.00282220953453881,Cells,RadialDistribution
Nuclei_Texture_Correlation_DNA_3_00_256,0.0028205180876882097,Nuclei,Texture
Cytoplasm_Granularity_13_Mito,0.002816781357874528,Cytoplasm,Granularity
Nuclei_Granularity_9_AGP,0.002814714411589583,Nuclei,Granularity
Nuclei_RadialDistribution_RadialCV_Mito_1of4,0.0028145786976632994,Nuclei,RadialDistribution
Nuclei_Correlation_K_Mito_RNA,0.0028132081689545884,Nuclei,Correlation
Cytoplasm_AreaShape_Zernike_9_3,0.002795860079284986,Cytoplasm,AreaShape
Cells_RadialDistribution_FracAtD_mito_tubeness_16of16,0.002795564918404645,Cells,RadialDistribution
Nuclei_AreaShape_Zernike_6_4,0.00278704720420397,Nuclei,AreaShape
Nuclei_Texture_Contrast_Mito_3_01_256,0.0027827439257699944,Nuclei,Texture
Nuclei_Texture_InfoMeas1_AGP_3_03_256,0.002780040846791962,Nuclei,Texture
Nuclei_Texture_Contrast_Mito_5_01_256,0.0027703930302543866,Nuclei,Texture
Nuclei_Intensity_MinIntensityEdge_ER,0.0027664442830986707,Nuclei,Intensity
Cytoplasm_Intensity_IntegratedIntensityEdge_ER,0.0027642049532628984,Cytoplasm,Intensity
Cells_AreaShape_Zernike_4_4,0.002764064431869753,Cells,AreaShape
Cytoplasm_Correlation_Correlation_ER_Mito,0.0027572189240579192,Cytoplasm,Correlation
Cytoplasm_Texture_InfoMeas1_DNA_5_00_256,0.0027488402177602567,Cytoplasm,Texture
Nuclei_Texture_Correlation_Mito_10_01_256,0.0027390237619813107,Nuclei,Texture
Cells_RadialDistribution_RadialCV_mito_tubeness_13of20,0.002730337201328439,Cells,RadialDistribution
Nuclei_AreaShape_Zernike_7_1,0.0027238704345823603,Nuclei,AreaShape
Cells_Correlation_K_RNA_Mito,0.0027129868890603706,Cells,Correlation
Nuclei_Granularity_13_AGP,0.0027121971648635477,Nuclei,Granularity
