pathway,shap_morpho_total,shap_morgan_total,morpho_pct
Mitosis,0.0023831412935897975,0.00018811623807194597,92.15950019872336
Cell cycle,0.001687199252340585,0.000185226818278157,89.62222544625408
ERK MAPK signaling,0.0014684035976798848,0.0001778970126055105,87.96928045524587
PI3K/MTOR signaling,0.0014326102205684144,0.00018408856631860356,87.92845933980838
"Other, kinases",0.0012549527354583903,0.0001828108369242582,87.47167583955
Protein stability and degradation,0.001941986502154015,0.00021513240888199636,87.16726162301904
IGF1R signaling,0.0012515827890274105,0.00018154182061486302,86.59648027700737
Chromatin histone acetylation,0.0013830887205824782,0.00019580710373058984,86.40648277678496
RTK signaling,0.0015305626621106628,0.00021026950939621357,86.20549876940984
Genome integrity,0.0012479806203566977,0.00019451626652293707,86.08763558154234
Other,0.0015464886118489543,0.00024078156718893552,85.81447847271696
Metabolism,0.0015287415061367889,0.0002566260603418379,84.98758276286163
Apoptosis regulation,0.001721903335213894,0.0002773487614656992,84.02464119451933
EGFR signaling,0.0009502710846760517,0.0001851086939936989,83.63601882777702
WNT signaling,0.0011530525888316374,0.00022650586201854853,83.3787921235831
Chromatin other,0.0010528041426888129,0.00021469936232915683,83.06413475762395
DNA replication,0.0016399321474902526,0.00029286689304072066,82.54879955449145
Chromatin histone methylation,0.001145583483055196,0.0002493514961911894,81.76114595281865
Hormone-related,0.0011932761105777037,0.0002701136683739466,81.25714079138633
