pathway,shap_morpho_total,shap_morgan_total,morpho_pct
Mitosis,0.002212208348788709,7.297893128931448e-05,95.82626516802951
Cell cycle,0.0016809422677420732,9.009991012317738e-05,94.38449369014695
ERK MAPK signaling,0.0008397282685323546,6.687925515605677e-05,92.35518797073985
PI3K/MTOR signaling,0.0013659140887981212,9.475840900395146e-05,91.98869227375721
Chromatin histone acetylation,0.0010372227272146862,7.902566451243763e-05,91.87024676708292
"Other, kinases",0.0010321994116534712,9.084433139807718e-05,91.53043105930692
Protein stability and degradation,0.0016704497949295526,9.05910121591585e-05,91.4184625608127
IGF1R signaling,0.0009557225329117562,8.295006817812026e-05,91.1338852140663
RTK signaling,0.0010842132259607546,0.00010032584854637345,90.71352128299058
Genome integrity,0.0008863438465342493,9.041282895463866e-05,90.32579536540202
Other,0.0012400549482969095,0.00013444061042633965,90.04004654773338
Apoptosis regulation,0.0011662811062415257,9.800239886209173e-05,89.61510311914721
DNA replication,0.0013215183388421393,0.00013506647442744892,89.0116317878873
Chromatin other,0.0008341990032419133,0.00010492465681472674,88.47145457675848
WNT signaling,0.0008066513893156273,0.00010352466188904328,88.30518907268221
Chromatin histone methylation,0.0008680611236456576,0.00010932753384317936,88.11467991475884
Metabolism,0.001494102012586046,0.00019855772134696946,88.08253307554814
Hormone-related,0.0007232398467708171,9.85647683571422e-05,87.7329435720411
EGFR signaling,0.000749871517916691,0.00010338298039233762,87.67495994781923
